Countries,Year,Descriptions
U.K.,1950,"Following the implementation of the NHS in 1948, the U.K saw monumental health improvements due to better health accessibility.Reducing infant mortality was a major initiative for the UK, antibiotic use in healthcare became widespread - leading to better survivability of these vulnerable groups who were disproportionately affected by bacterial infection. Doll and Hill also outlined the relationship between infant mortality, tuberculosis and poor housing - resulting in an extra 400,000 houses being built a year. Various immunisation programs were also implemented to protect the vulnerable. Lifestyles were also rapidly changing, with a shift towards combatting air pollution enforced through various laws and campaigns"
U.K.,1951,"Following the implementation of the NHS in 1948, the U.K saw monumental health improvements due to better health accessibility.Reducing infant mortality was a major initiative for the UK, antibiotic use in healthcare became widespread - leading to better survivability of these vulnerable groups who were disproportionately affected by bacterial infection. Doll and Hill also outlined the relationship between infant mortality, tuberculosis and poor housing - resulting in an extra 400,000 houses being built a year. Various immunisation programs were also implemented to protect the vulnerable. Lifestyles were also rapidly changing, with a shift towards combatting air pollution enforced through various laws and campaigns"
U.K.,1952,"The Great London smog of 1952 led to 4,000 deaths - as well as 12,000 deaths long term due to damage from particulate matter. Mortality rates remained elevated following this event for vulnerable groups such as the very young and the very elderly. "
U.K.,1953,"Following the implementation of the NHS in 1948, the U.K saw monumental health improvements due to better health accessibility.Reducing infant mortality was a major initiative for the UK, antibiotic use in healthcare became widespread - leading to better survivability of these vulnerable groups who were disproportionately affected by bacterial infection. Doll and Hill also outlined the relationship between infant mortality, tuberculosis and poor housing - resulting in an extra 400,000 houses being built a year. Various immunisation programs were also implemented to protect the vulnerable. Lifestyles were also rapidly changing, with a shift towards combatting air pollution enforced through various laws and campaigns"
U.K.,1954,"Following the implementation of the NHS in 1948, the U.K saw monumental health improvements due to better health accessibility.Reducing infant mortality was a major initiative for the UK, antibiotic use in healthcare became widespread - leading to better survivability of these vulnerable groups who were disproportionately affected by bacterial infection. Doll and Hill also outlined the relationship between infant mortality, tuberculosis and poor housing - resulting in an extra 400,000 houses being built a year. Various immunisation programs were also implemented to protect the vulnerable. Lifestyles were also rapidly changing, with a shift towards combatting air pollution enforced through various laws and campaigns"
U.K.,1955,"Following the implementation of the NHS in 1948, the U.K saw monumental health improvements due to better health accessibility.Reducing infant mortality was a major initiative for the UK, antibiotic use in healthcare became widespread - leading to better survivability of these vulnerable groups who were disproportionately affected by bacterial infection. Doll and Hill also outlined the relationship between infant mortality, tuberculosis and poor housing - resulting in an extra 400,000 houses being built a year. Various immunisation programs were also implemented to protect the vulnerable. Lifestyles were also rapidly changing, with a shift towards combatting air pollution enforced through various laws and campaigns"
U.K.,1956,Clean Air Act passed in order to reduce pollution through establishing smoke control zones. Harmful particulate matter is linked to degradation of lung function. Polio immunisation programme begins. Both initatives aiming to reduce deaths in elderly and infant demographics who are most susceptible.
U.K.,1957,"pertussis, commonly known as 'whooping cough' was one of the leading causes of infant and child mortality. The whooping cough immunisation program was rolled out to combat this. "
U.K.,1958,"NHS mass vaccination programme, everyone under the age of 15 vaccinated against polio and diphtheria. "
U.K.,1959,"Following the implementation of the NHS in 1948, the U.K saw monumental health improvements due to better health accessibility.Reducing infant mortality was a major initiative for the UK, antibiotic use in healthcare became widespread - leading to better survivability of these vulnerable groups who were disproportionately affected by bacterial infection. Doll and Hill also outlined the relationship between infant mortality, tuberculosis and poor housing - resulting in an extra 400,000 houses being built a year. Various immunisation programs were also implemented to protect the vulnerable. Lifestyles were also rapidly changing, with a shift towards combatting air pollution enforced through various laws and campaigns"
U.K.,1960,"The main health initiative of the 1960's was the introduction of family planning services and promotion of reproductive health. With the availability of the contraceptive pill, and the NHS Family Planning Act  -  there was a gradual decline in birth rate. Improved maternal and child health services alongside effective vaccination programs contributed to an increase in life expectancy. While beneficial in terms of improved public health - this merely outlines the start of the challenges associated with an aging population."
U.K.,1961,The contraceptive pill was available on the NHS for the first time and the plastic intrauterine device rapidly gained popularity. Both enabling greater control over reproductive health and consequently leading to lower birth rates.
