"","Country","Year","Age_Group","Grouped_Death_Count","Grouped_Pop_Count","Death_Rate"
"1","Australia",1950,"[0,5)",5800,911986.55,6.35974291506821
"2","Australia",1950,"[5,10)",533,724973.44,0.735199347440922
"3","Australia",1950,"[10,15)",388,594492.89,0.652657090650823
"4","Australia",1950,"[15,20)",597,550036.45,1.08538261418857
"5","Australia",1950,"[20,25)",976,641554.53,1.52130482189877
"6","Australia",1950,"[25,30)",917,686423.56,1.33590985717332
"7","Australia",1950,"[30,35)",985,624614.23,1.57697335841996
"8","Australia",1950,"[35,40)",1432,632173.16,2.26520214809499
"9","Australia",1950,"[40,45)",1979,559936.7,3.53432807672724
"10","Australia",1950,"[45,50)",2710,488697.27,5.54535530759155
"11","Australia",1950,"[50,55)",3901,443436.17,8.7972074988831
"12","Australia",1950,"[55,60)",5544,408306.58,13.5780324676619
"13","Australia",1950,"[60,65)",7654,360884.1,21.2090252798613
"14","Australia",1950,"[65,70)",8988,270832.06,33.1866175666204
"15","Australia",1950,"[70,75)",9802,188732.87,51.9358392631872
"16","Australia",1950,"[75,80)",9908,115956.98,85.4454815915351
"17","Australia",1950,"[80,85)",8577,68328.93,125.5251618897
"18","Australia",1950,"[85,90)",5531,26706.68,207.101743833378
"19","Australia",1950,"[90,95)",1745,6466.97,269.832703723691
"20","Australia",1950,"[95,100)",352,814.78,432.01845897052
"21","Australia",1950,"[100,Inf)",35,40.77,858.474368408143
"22","Australia",1951,"[0,5)",6171,935407.4,6.59712548778211
"23","Australia",1951,"[5,10)",522,780532.32,0.668774356454579
"24","Australia",1951,"[10,15)",395,619411.76,0.637701809213309
"25","Australia",1951,"[15,20)",660,554499.73,1.19026207641255
"26","Australia",1951,"[20,25)",1016,637966.3,1.59256061017643
"27","Australia",1951,"[25,30)",1021,699534.51,1.45954200315293
"28","Australia",1951,"[30,35)",1116,651406.03,1.71321717731105
"29","Australia",1951,"[35,40)",1505,645839.45,2.3303005104442
"30","Australia",1951,"[40,45)",1980,581288.77,3.4062244140722
"31","Australia",1951,"[45,50)",2780,501608.77,5.54216785324547
"32","Australia",1951,"[50,55)",4109,451832.88,9.09407035627863
"33","Australia",1951,"[55,60)",5759,408192.6,14.1085360195163
"34","Australia",1951,"[60,65)",8064,369234.51,21.8397787357417
"35","Australia",1951,"[65,70)",9374,279136.17,33.5821760397443
"36","Australia",1951,"[70,75)",10281,196077.52,52.4333437101816
"37","Australia",1951,"[75,80)",10285,117959.43,87.1909943952764
"38","Australia",1951,"[80,85)",8903,69569.24,127.973224948267
"39","Australia",1951,"[85,90)",5622,26967.99,208.469374247024
"40","Australia",1951,"[90,95)",1995,6758.18,295.197819531294
"41","Australia",1951,"[95,100)",371,885.73,418.863536292098
"42","Australia",1951,"[100,Inf)",36,40.15,896.637608966376
"43","Australia",1952,"[0,5)",6009,946130.12,6.35113487349922
"44","Australia",1952,"[5,10)",521,841973.15,0.618784577631721
"45","Australia",1952,"[10,15)",355,643738.35,0.551466290613259
"46","Australia",1952,"[15,20)",612,567003.01,1.07935934943273
"47","Australia",1952,"[20,25)",898,624372.34,1.43824436553355
