"","Country","Year","Type","Birth_Count","Death_Count","Pop_Count","Birth_Rate","Death_Rate"
"1","Australia",1921,"Female",66159,23424.03,2713450.44,24.3818715185378,8.63256231059079
"2","Australia",1921,"Male",70039,30652.02,2804102.72,24.9773303597095,10.9311330791762
"3","Australia",1921,"Total",136198,54076.05,5517553.16,24.6844925731536,9.80073022078504
"4","Australia",1922,"Female",66914,22066.02,2769348.74,24.1623595589481,7.96794556109246
"5","Australia",1922,"Male",70582,29244.97,2867671.93,24.612996787258,10.1981574998365
"6","Australia",1922,"Total",137496,51310.99,5637020.67,24.3916082713246,9.10250165891267
"7","Australia",1923,"Female",65857,24614.04,2824938.08,23.3127233712677,8.71312549264797
"8","Australia",1923,"Male",69365,31622.01,2932692.19,23.6523288180476,10.7825874491111
"9","Australia",1923,"Total",135222,56236.05,5757630.27,23.4857039543805,9.76722147182959
"10","Australia",1924,"Female",66127,23877.06,2881861.88,22.9459296640545,8.2852895087394
"11","Australia",1924,"Male",68800,31102.96,2998944.56,22.9414044252955,10.3713020956946
"12","Australia",1924,"Total",134927,54980.02,5880806.44,22.94362199753,9.34906131683531
"13","Australia",1925,"Female",66250,23433.96,2939510.66,22.537764840084,7.97206158116127
"14","Australia",1925,"Male",69542,31134,3063854.3,22.6975545149128,10.161710365927
"15","Australia",1925,"Total",135792,54567.96,6003364.96,22.619314485255,9.08956233105641
"16","Australia",1926,"Female",64740,24564.96,2997282.2,21.599567768427,8.19574479840437
"17","Australia",1926,"Male",68422,32386.98,3127648.9,21.8764964315528,10.3550561573583
"18","Australia",1926,"Total",133162,56951.94,6124931.1,21.7409792577095,9.29838051566001
"19","Australia",1927,"Female",64818,25424.01,3055104,21.2162990196078,8.32181490384616
"20","Australia",1927,"Male",68880,32858.05,3192438.57,21.5759829013719,10.2924611639434
"21","Australia",1927,"Total",133698,58282.06,6247542.57,21.4000942773888,9.32879757872542
"22","Australia",1928,"Female",64926,26232.94,3107319.99,20.8945329766311,8.44230400616063
"23","Australia",1928,"Male",69152,33144.96,3245654.58,21.3060257324117,10.2121033471159
"24","Australia",1928,"Total",134078,59377.9,6352974.57,21.1047594355474,9.34647216760384
"25","Australia",1929,"Female",62857,26138.97,3150320.27,19.9525745361756,8.2972421086571
"26","Australia",1929,"Male",66623,34716.99,3282156.11,20.2985469816669,10.5774950479123
"27","Australia",1929,"Total",129480,60855.96,6432476.38,20.1291061717043,9.46073586670519
"28","Australia",1930,"Female",62516,24183.03,3188850.19,19.6045584693961,7.58362060276027
"29","Australia",1930,"Male",65883,31148.07,3309998.23,19.9042402509079,9.41029808345245
"30","Australia",1930,"Total",128399,55331.1,6498848.42,19.7571926135184,8.51398531310875
"31","Australia",1931,"Female",57488,24764,3221739.39,17.8437772398468,7.68653109462091
"32","Australia",1931,"Male",61021,31795.95,3333668.46,18.3044597062301,9.53782608604096
"33","Australia",1931,"Total",118509,56559.95,6555407.85,18.0780513908071,8.62798338321543
"34","Australia",1932,"Female",53958,24896.97,3250235.39,16.6012591475721,7.66005135400362
"35","Australia",1932,"Male",56975,31860,3356592.81,16.9740576903637,9.49176793356713
"36","Australia",1932,"Total",110933,56756.97,6606828.2,16.7906590941777,8.59065322751998
